date,wizardingworld
2018/6/15,63
2018/6/16,50
2018/6/17,47
2018/6/18,42
2018/6/19,38
2018/6/20,42
2018/6/21,54
2018/6/22,54
2018/6/23,68
2018/6/24,77
2018/6/25,44
2018/6/26,79
2018/6/27,30
2018/6/28,63
2018/6/29,50
2018/6/30,64
2018/7/1,25
2018/7/2,28
2018/7/3,26
2018/7/4,23
2018/7/5,25
2018/7/6,21
2018/7/7,17
2018/7/8,28
2018/7/9,22
2018/7/10,29
2018/7/11,27
2018/7/12,19
2018/7/13,26
2018/7/14,32
2018/7/15,47
2018/7/16,38
2018/7/17,33
2018/7/18,26
2018/7/19,34
2018/7/20,29
2018/7/21,16
2018/7/22,41
2018/7/23,42
2018/7/24,32
2018/7/25,18
2018/7/26,32
2018/7/27,18
2018/7/28,39
2018/7/29,39
2018/7/30,33
2018/7/31,36
2018/8/1,37
2018/8/2,37
2018/8/3,43
2018/8/4,33
2018/8/5,36
2018/8/6,30
2018/8/7,21
2018/8/8,32
2018/8/9,31
2018/8/10,34
2018/8/11,29
2018/8/12,26
2018/8/13,24
2018/8/14,34
2018/8/15,30
2018/8/16,24
2018/8/17,25
2018/8/18,23
2018/8/19,34
2018/8/20,27
2018/8/21,30
2018/8/22,29
2018/8/23,24
2018/8/24,28
2018/8/25,33
2018/8/26,31
2018/8/27,31
2018/8/28,30
2018/8/29,23
2018/8/30,23
2018/8/31,18
2018/9/1,34
2018/9/2,32
2018/9/3,40
2018/9/4,35
2018/9/5,25
2018/9/6,26
2018/9/7,22
2018/9/8,29
2018/9/9,28
2018/9/10,22
2018/9/11,12
2018/9/12,18
2018/9/13,26
2018/9/14,20
2018/9/15,26
2018/9/16,25
2018/9/17,23
2018/9/18,25
2018/9/19,25
2018/9/20,25
2018/9/21,18
2018/9/22,31
2018/9/23,35
2018/9/24,24
2018/9/25,28
2018/9/26,39
2018/9/27,29
2018/9/28,37
2018/9/29,31
2018/9/30,26
2018/10/1,29
2018/10/2,32
2018/10/3,31
2018/10/4,21
2018/10/5,27
2018/10/6,28
2018/10/7,47
2018/10/8,29
2018/10/9,20
2018/10/10,26
2018/10/11,29
2018/10/12,40
2018/10/13,27
2018/10/14,25
2018/10/15,28
2018/10/16,30
2018/10/17,25
2018/10/18,32
2018/10/19,27
2018/10/20,29
2018/10/21,39
2018/10/22,29
2018/10/23,23
2018/10/24,25
2018/10/25,25
2018/10/26,30
2018/10/27,25
2018/10/28,21
2018/10/29,26
2018/10/30,20
2018/10/31,28
2018/11/1,31
2018/11/2,32
2018/11/3,23
2018/11/4,46
2018/11/5,34
2018/11/6,27
2018/11/7,31
2018/11/8,28
2018/11/9,34
2018/11/10,60
2018/11/11,62
2018/11/12,36
2018/11/13,37
2018/11/14,39
2018/11/15,39
2018/11/16,74
2018/11/17,84
2018/11/18,100
2018/11/19,77
2018/11/20,65
2018/11/21,47
2018/11/22,46
2018/11/23,66
2018/11/24,68
2018/11/25,64
2018/11/26,61
2018/11/27,55
2018/11/28,45
2018/11/29,24
2018/11/30,35
2018/12/1,41
2018/12/2,44
2018/12/3,33
2018/12/4,31
2018/12/5,39
2018/12/6,37
2018/12/7,36
2018/12/8,33
2018/12/9,39
2018/12/10,33
2018/12/11,33
2018/12/12,32
2018/12/13,30
2018/12/14,36
2018/12/15,36
2018/12/16,57
2018/12/17,41
2018/12/18,38
2018/12/19,36
2018/12/20,40
2018/12/21,39
2018/12/22,30
2018/12/23,40
2018/12/24,49
2018/12/25,33
2018/12/26,44
2018/12/27,50
2018/12/28,44
2018/12/29,44
2018/12/30,44
2018/12/31,34
