date,searches,source
2017-10-05,0,harrypotterwiki
2017-10-06,0,harrypotterwiki
2017-10-07,0,harrypotterwiki
2017-10-08,0,harrypotterwiki
2017-10-09,0,harrypotterwiki
2017-10-10,0,harrypotterwiki
2017-10-11,0,harrypotterwiki
2017-10-12,0,harrypotterwiki
2017-10-13,0,harrypotterwiki
2017-10-14,0,harrypotterwiki
2017-10-15,40,harrypotterwiki
2017-10-16,0,harrypotterwiki
2017-10-17,0,harrypotterwiki
2017-10-18,0,harrypotterwiki
2017-10-19,0,harrypotterwiki
2017-10-20,0,harrypotterwiki
2017-10-21,0,harrypotterwiki
2017-10-22,0,harrypotterwiki
2017-10-23,19,harrypotterwiki
2017-10-24,40,harrypotterwiki
2017-10-25,0,harrypotterwiki
2017-10-26,0,harrypotterwiki
2017-10-27,39,harrypotterwiki
2017-10-28,0,harrypotterwiki
2017-10-29,0,harrypotterwiki
2017-10-30,0,harrypotterwiki
2017-10-31,24,harrypotterwiki
2017-11-01,35,harrypotterwiki
2017-11-02,0,harrypotterwiki
2017-11-03,0,harrypotterwiki
2017-11-04,0,harrypotterwiki
2017-11-05,0,harrypotterwiki
2017-11-06,0,harrypotterwiki
2017-11-07,28,harrypotterwiki
2017-11-08,0,harrypotterwiki
2017-11-09,37,harrypotterwiki
2017-11-10,74,harrypotterwiki
2017-11-11,23,harrypotterwiki
2017-11-12,0,harrypotterwiki
2017-11-13,0,harrypotterwiki
2017-11-14,0,harrypotterwiki
2017-11-15,0,harrypotterwiki
2017-11-16,0,harrypotterwiki
2017-11-17,0,harrypotterwiki
2017-11-18,0,harrypotterwiki
2017-11-19,0,harrypotterwiki
2017-11-20,0,harrypotterwiki
2017-11-21,0,harrypotterwiki
2017-11-22,0,harrypotterwiki
2017-11-23,0,harrypotterwiki
2017-11-24,43,harrypotterwiki
2017-11-25,0,harrypotterwiki
2017-11-26,0,harrypotterwiki
2017-11-27,0,harrypotterwiki
2017-11-28,30,harrypotterwiki
2017-11-29,0,harrypotterwiki
2017-11-30,0,harrypotterwiki
2017-12-01,0,harrypotterwiki
2017-12-02,0,harrypotterwiki
2017-12-03,28,harrypotterwiki
2017-12-04,0,harrypotterwiki
2017-12-05,0,harrypotterwiki
2017-12-06,0,harrypotterwiki
2017-12-07,0,harrypotterwiki
2017-12-08,0,harrypotterwiki
2017-12-09,0,harrypotterwiki
2017-12-10,0,harrypotterwiki
2017-12-11,48,harrypotterwiki
2017-12-12,0,harrypotterwiki
2017-12-13,0,harrypotterwiki
2017-12-14,0,harrypotterwiki
2017-12-15,51,harrypotterwiki
2017-12-16,0,harrypotterwiki
2017-12-17,0,harrypotterwiki
2017-12-18,0,harrypotterwiki
2017-12-19,0,harrypotterwiki
2017-12-20,0,harrypotterwiki
2017-12-21,0,harrypotterwiki
2017-12-22,0,harrypotterwiki
2017-12-23,0,harrypotterwiki
2017-12-24,0,harrypotterwiki
2017-12-25,0,harrypotterwiki
2017-12-26,83,harrypotterwiki
2017-12-27,0,harrypotterwiki
2017-12-28,0,harrypotterwiki
2017-12-29,0,harrypotterwiki
2017-12-30,0,harrypotterwiki
2017-12-31,0,harrypotterwiki
2018-01-01,39,harrypotterwiki
2018-01-02,0,harrypotterwiki
2018-01-03,0,harrypotterwiki
2018-01-04,0,harrypotterwiki
2018-01-05,0,harrypotterwiki
2018-01-06,0,harrypotterwiki
2018-01-07,0,harrypotterwiki
2018-01-08,0,harrypotterwiki
2018-01-09,0,harrypotterwiki
2018-01-10,36,harrypotterwiki
2018-01-11,18,harrypotterwiki
2018-01-12,0,harrypotterwiki
2018-01-13,0,harrypotterwiki
2018-01-14,0,harrypotterwiki
2018-01-15,0,harrypotterwiki
2018-01-16,31,harrypotterwiki
2018-01-17,0,harrypotterwiki
2018-01-18,0,harrypotterwiki
2018-01-19,0,harrypotterwiki
2018-01-20,58,harrypotterwiki
2018-01-21,30,harrypotterwiki
2018-01-22,0,harrypotterwiki
2018-01-23,0,harrypotterwiki
2018-01-24,0,harrypotterwiki
2018-01-25,0,harrypotterwiki
2018-01-26,49,harrypotterwiki
2018-01-27,0,harrypotterwiki
2018-01-28,0,harrypotterwiki
2018-01-29,0,harrypotterwiki
2018-01-30,0,harrypotterwiki
2018-01-31,0,harrypotterwiki
2018-02-01,0,harrypotterwiki
2018-02-02,0,harrypotterwiki
2018-02-03,0,harrypotterwiki
2018-02-04,0,harrypotterwiki
2018-02-05,41,harrypotterwiki
2018-02-06,39,harrypotterwiki
2018-02-07,0,harrypotterwiki
2018-02-08,0,harrypotterwiki
2018-02-09,0,harrypotterwiki
2018-02-10,0,harrypotterwiki
2018-02-11,31,harrypotterwiki
2018-02-12,0,harrypotterwiki
2018-02-13,32,harrypotterwiki
