date,harrypotterwiki,hogwartsishere,jkrowling,harrypotterlexicon,mugglenet,pottermore,wizardingworld
2017-08-04,0,35,0,0,0,44,57
2017-08-05,0,31,0,66,0,47,28
2017-08-06,0,0,0,0,24,51,78
2017-08-07,0,0,0,0,69,43,54
2017-08-08,0,17,19,0,0,44,52
2017-08-09,0,0,26,0,0,40,60
2017-08-10,0,0,19,42,0,37,53
2017-08-11,0,0,0,0,17,39,42
2017-08-12,0,0,0,0,0,46,69
2017-08-13,25,0,49,40,0,54,75
2017-08-14,23,0,0,0,0,42,60
2017-08-15,0,100,100,0,57,42,53
2017-08-16,0,0,0,0,18,41,48
2017-08-17,22,0,0,37,34,35,27
2017-08-18,0,0,0,25,0,39,63
2017-08-19,0,45,0,0,0,50,65
2017-08-20,0,22,0,34,0,44,49
2017-08-21,56,0,0,0,16,38,34
2017-08-22,0,0,0,0,17,36,42
2017-08-23,30,0,0,0,37,41,75
2017-08-24,79,16,0,38,19,39,49
2017-08-25,0,0,0,28,27,44,52
2017-08-26,0,0,0,0,0,49,48
2017-08-27,0,0,0,0,18,46,57
2017-08-28,0,0,0,0,0,37,52
2017-08-29,40,66,0,27,0,38,50
2017-08-30,37,0,34,0,0,36,49
2017-08-31,0,19,0,45,35,38,64
2017-09-01,38,16,27,0,23,87,25
2017-09-02,0,0,0,0,33,97,70
2017-09-03,0,0,0,0,52,68,80
2017-09-04,0,30,0,0,64,57,51
2017-09-05,0,0,0,0,39,47,29
2017-09-06,0,23,0,0,49,40,53
2017-09-07,0,0,0,0,0,40,35
2017-09-08,0,0,0,28,57,40,62
2017-09-09,0,0,0,0,24,46,44
2017-09-10,0,96,0,0,0,45,75
2017-09-11,38,0,35,0,0,35,52
2017-09-12,77,0,0,35,37,36,41
2017-09-13,19,0,0,0,0,35,51
2017-09-14,0,0,18,19,0,36,40
2017-09-15,0,0,0,0,0,36,46
2017-09-16,42,0,0,100,0,48,40
2017-09-17,0,34,0,26,47,45,67
2017-09-18,0,21,0,0,22,33,41
2017-09-19,0,21,19,0,0,38,45
2017-09-20,0,0,0,0,0,38,43
2017-09-21,21,0,0,20,0,34,56
2017-09-22,0,0,0,23,0,45,63
2017-09-23,61,0,0,0,48,49,37
2017-09-24,0,28,0,59,0,78,72
2017-09-25,0,0,40,0,24,64,37
2017-09-26,0,0,0,0,40,43,56
2017-09-27,0,0,0,0,0,40,64
2017-09-28,0,24,0,0,0,39,51
2017-09-29,0,0,0,0,27,41,52
2017-09-30,0,0,0,0,0,51,71
2017-10-01,0,0,0,0,0,48,62
2017-10-02,0,46,0,32,0,49,42
2017-10-03,0,36,0,0,0,47,53
2017-10-04,47,0,0,0,57,43,42
2017-10-05,0,0,0,0,79,37,52
2017-10-06,0,22,0,0,0,41,40
2017-10-07,0,0,0,0,0,51,64
2017-10-08,0,0,0,0,0,50,33
2017-10-09,0,0,0,0,0,40,49
2017-10-10,0,0,0,62,0,38,46
2017-10-11,0,0,0,35,17,37,56
2017-10-12,0,0,0,0,0,38,53
2017-10-13,0,0,0,0,0,39,60
2017-10-14,0,27,25,0,0,50,65
2017-10-15,40,65,0,43,0,48,65
